Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0052305437,0.0032023503,0.0,0.0
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],0.001095204,8.0799137E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0028985143,0.001752133,0.0016239233,0.0015329231
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],0.0011329697,7.802799E-4,0.0,0.0
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.001708896,0.0010456459,8.2140305E-4,8.0583844E-4
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],8.8749296E-4,5.861867E-4,0.0,0.0
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.016003197,0.0096236365,0.0050511565,0.004995416
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0019071656,0.0012832038,8.780515E-4,8.670119E-4
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0016239233,0.001206265,0.0,0.0
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],6.7978184E-4,4.2832125E-4,0.0,0.0
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.0036727102,0.0026188884,0.0,0.0
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.0047112657,0.003327893,0.0026341546,0.0025158343
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.007458717,0.0050376295,0.0032761707,0.0032421884
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.007524807,0.005551218,0.004380816,0.004237935
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.0058725597,0.0044318754,0.0034272333,0.0033811831
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.0072321235,0.005232615,0.0034649991,0.0034300669
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.008025202,0.005554099,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],6.325748E-4,4.1425994E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0022281737,0.0015903686,0.0010385555,0.0010264999
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.004720707,0.0028585894,0.0,0.0
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.004947301,0.003477871,0.0021526425,0.002081303
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0031156668,0.0018862793,0.0,0.0
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.009658567,0.006934487,0.004446906,0.0043936726
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.006524017,0.00381067,0.0,0.0
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.005948091,0.0039989045,0.0,0.0
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.005948091,0.0039989045,0.0,0.0
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.009847395,0.00704596,0.0046451758,0.0045698737
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.009271469,0.005556329,0.005079481,0.004867045
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.010026782,0.0054747374,0.0,0.0
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0054193716,0.0034318,0.0,0.0
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.011159752,0.008193025,0.006269099,0.006130749
