Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.98763627,0.81331086,0.9909667,0.8434783,0.72878754
20.00,0.95745456,0.6614745,0.9683032,0.71145564,0.53113127
30.00,0.9017612,0.5379844,0.9247536,0.6000974,0.3870819
40.00,0.8264281,0.43754852,0.86608624,0.50616914,0.28210047
50.00,0.74641824,0.35586298,0.80309093,0.4269427,0.2055913
60.00,0.64871603,0.2894272,0.7252039,0.3601169,0.14983238
70.00,0.56220055,0.23539428,0.6539094,0.3037508,0.10919597
80.00,0.46662325,0.19144872,0.571976,0.2562072,0.079580665
90.00,0.3723,0.15570731,0.48708004,0.21610522,0.057997398
100.00,0.30228695,0.12663844,0.42748097,0.18228006,0.04226778
110.00,0.24252483,0.102996424,0.36616024,0.15374929,0.030804234
120.00,0.17162251,0.08376811,0.29445845,0.12968418,0.022449743
130.00,0.13255896,0.06812951,0.24212977,0.109385796,0.016361093
140.00,0.09745315,0.055410467,0.19557686,0.09226455,0.011923761
150.00,0.07502468,0.045065932,0.15730797,0.07782315,0.008689889
160.00,0.051374044,0.03665261,0.12091751,0.06564213,0.0063330824
170.00,0.032732535,0.029809967,0.08823325,0.055367716,0.0046154717
180.00,0.01846836,0.024244769,0.06259981,0.04670147,0.0033636983
190.00,0.0134936925,0.019718533,0.043172322,0.039391674,0.0024514215
200.00,0.00592352,0.016037297,0.029689875,0.033226024,0.0017865654
210.00,0.0030932026,0.013043307,0.01667616,0.02802543,0.0013020267
220.00,0.0,0.010608262,0.008017276,0.023638843,9.489008E-4
230.00,0.0,0.008627815,0.0039034837,0.01993885,6.915471E-4
240.00,0.0,0.0070170956,0.003195209,0.016817989,5.039909E-4
250.00,0.0,0.0057070795,0.0025018337,0.014185608,3.673023E-4
260.00,0.0,0.0046416298,0.0016853475,0.011965252,2.6768536E-4
270.00,0.0,0.003775088,6.9400267E-4,0.010092432,1.9508575E-4
280.00,0.0,0.0030703198,4.8040482E-4,0.008512747,1.4217607E-4
290.00,0.0,0.0024971245,1.9842705E-4,0.0071803173,1.0361615E-4
300.00,0.0,0.0020309384,1.1486455E-4,0.006056442,7.551416E-5
310.00,0.0,0.0016517842,9.102167E-5,0.0051084775,5.503378E-5
320.00,0.0,0.001343414,6.3541185E-5,0.0043088896,4.0107934E-5
330.00,0.0,0.0010926131,0.0,0.0036344551,2.9230163E-5
